Name	Time signature	Feel	Default tempo	Long name	Genre	Group	Other genres
J~COZY	4/4	sw8	90	Jazz Cozy - Slow Swing Piano Trio	Jazz	Jazz	Jazz Ballad,Jazz Swing
J~DEXTER	4/4	sw8	165	Dexter, Bop w/ Brushes Style	Jazz	Jazz	Bebop
J_DIXIE2	4/4	sw8	170	Dixieland 2	Jazz	Jazz	Dixieland
J_DIXIE3	4/4	sw8	200	Dixieland 3	Jazz	Jazz	Dixieland
J_DIZZY	4/4	sw8	175	Jazz Dizzy Style	Jazz	Jazz	Bebop
J_DJANGO	4/4	sw8	180	Django Jazz Swing	Jazz	Jazz	Jazz Swing
J~DOLFIN	4/4	ev8	145	Dolfin, Jazz Bossa/Swing Combo	Jazz	Jazz	Jazz Swing,Latin,Bossa
J_DOLFIN	4/4	ev8	145	Dolfin, Jazz Bossa/Swing Combo	Jazz	Jazz	Jazz Swing,Latin,Bossa
J~EASY	4/4	sw8	155	Easy, Swing w/ Brushes Style	Jazz	Jazz	Jazz Swing
JELLO	4/4	sw16	100	Jello - Pop Swing 16ths	Lite Pop	Pop	Lite Pop
JERYLEE	4/4	ev8	180	Jery Lee Fast Boogie Blues	Blues	Pop	Blues
J_EVAN2H	4/4	sw8	165	B Evans 2 Hands	Jazz	Jazz	Jazz
j_evanlh	4/4	sw8	180	B Evans L-H Only	Jazz	Jazz	Jazz
J!~FREDY	4/4	sw8	100	Vintage Jazz - Freddy 'Smart' Rhythm Guitar	Jazz	Jazz	Jazz
